scenario,n,k,approach,seed,satisfied,req_viol,proh_viol,aspl,gap,deg_min,deg_max,connected,priors_kept,time,note
mixed,60,4,B_constrained,0,True,0,0,2.9633,0.0661,3,4,True,,0.0088,
mixed,60,4,D_free_repair,0,True,0,0,3.0876,0.1108,4,4,True,,0.0038,
mixed,60,4,B+polish,0,True,0,0,2.8938,0.0411,3,4,True,,4.4345,
mixed,60,4,A_seat,1,True,0,0,2.948,0.0606,4,4,True,,0.009,
mixed,60,4,B_constrained,1,True,0,0,2.9542,0.0628,4,4,True,,0.009,
mixed,60,4,D_free_repair,1,True,0,0,3.0395,0.0935,4,4,True,,0.0038,
mixed,60,4,B+polish,1,True,0,0,2.8718,0.0331,4,4,True,,4.5171,
churn_priors,60,4,A_seat,0,True,0,0,2.948,0.0606,4,4,True,0.034,0.0034,
churn_priors,60,4,B_constrained,0,True,0,0,2.9554,0.0632,4,4,True,0.263,0.0101,
churn_priors,60,4,D_free_repair,0,True,0,0,2.948,0.0606,4,4,True,0.559,0.0034,
churn_priors,60,4,B+polish,0,True,0,0,2.9723,0.0693,4,4,True,0.712,5.9949,
churn_priors,60,4,A_seat,1,True,0,0,2.948,0.0606,4,4,True,0.076,0.0034,
churn_priors,60,4,B_constrained,1,True,0,0,2.9554,0.0632,4,4,True,0.263,0.0106,
churn_priors,60,4,D_free_repair,1,True,0,0,2.948,0.0606,4,4,True,0.559,0.0041,
churn_priors,60,4,B+polish,1,True,0,0,2.9379,0.0569,4,4,True,0.695,6.0498,
