rid,method,seed_method,n,k,rng,budget,iters,time,aspl,gap,diameter,girth,deg_min,deg_max,connected
75,B_girthfirst,-,20,4,2004,,,1.8247366870000405,2.0842105263157893,0.07027027027027015,3,4,4,4,1
76,C_greedy,-,20,4,-1,,,0.0021827799999982744,2.0842105263157893,0.07027027027027015,3,4,4,4,1
77,D_circulant,-,20,4,-1,,,0.0013169569999718078,2.1578947368421053,0.1081081081081081,3,4,4,4,1
78,E_polish,C,20,4,4000,quick,13025,1.0038289099999247,1.9631578947368422,0.008108108108108133,3,3,4,4,1
79,E_polish,C,20,4,4000,thorough,101944,8.003534172999935,1.9631578947368422,0.008108108108108133,3,3,4,4,1
80,E_polish,D,20,4,4100,quick,13041,1.0035881539999991,1.9473684210526316,0.0,3,5,4,4,1
81,E_polish,D,20,4,4100,thorough,104506,8.003436482999973,1.9473684210526316,0.0,3,5,4,4,1
82,E_polish,A,20,4,4200,quick,13072,1.003323518000002,1.9473684210526316,0.0,3,5,4,4,1
83,E_polish,A,20,4,4200,thorough,104977,8.00332689000004,1.9473684210526316,0.0,3,5,4,4,1
0,A_random,-,50,3,1000,,,0.00026449399990724487,3.7477551020408164,0.09964071856287428,6,4,3,3,1
1,A_random,-,50,3,1001,,,0.0006145229999674484,3.743673469387755,0.0984431137724551,7,3,3,3,1
2,A_random,-,50,3,1002,,,0.000592506000089088,3.820408163265306,0.12095808383233535,7,3,3,3,1
3,A_random,-,50,3,1003,,,0.000615093999954297,3.9118367346938774,0.1477844311377245,7,3,3,3,1
4,A_random,-,50,3,1004,,,0.00013758199997937481,3.84734693877551,0.12886227544910178,7,3,3,3,1
5,A_random,-,50,3,1005,,,7.138799992389977e-05,3.8155102040816327,0.11952095808383234,7,3,3,3,1
6,A_random,-,50,3,1006,,,5.990400006794516e-05,3.753469387755102,0.10131736526946113,7,4,3,3,1
7,A_random,-,50,3,1007,,,0.0005827059999319317,3.9893877551020407,0.17053892215568858,8,3,3,3,1
8,B_girthfirst,-,50,3,2000,,,2.1050421499999175,3.639183673469388,0.06778443113772459,6,6,3,3,1
9,B_girthfirst,-,50,3,2001,,,1.8159797889999254,3.586938775510204,0.052455089820359256,6,7,3,3,1
10,B_girthfirst,-,50,3,2002,,,2.0913322180000478,3.602448979591837,0.057005988023952125,6,7,3,3,1
11,B_girthfirst,-,50,3,2003,,,1.8051029590000098,3.563265306122449,0.04550898203592817,6,7,3,3,1
12,B_girthfirst,-,50,3,2004,,,1.9654948529999956,3.569795918367347,0.04742514970059885,6,7,3,3,1
13,C_greedy,-,50,3,-1,,,0.00634377599999425,3.559183673469388,0.044311377245508994,6,5,3,3,1
14,D_circulant,-,50,3,-1,,,0.0005611169999610865,6.877551020408164,1.0179640718562875,13,4,3,3,1
15,E_polish,C,50,3,4000,quick,1770,1.0427569519999906,3.486530612244898,0.022994011976047918,6,7,3,3,1
16,E_polish,C,50,3,4000,thorough,13664,8.042680733999987,3.4179591836734695,0.0028742514970060227,5,8,3,3,1
17,E_polish,D,50,3,4100,quick,1744,1.039300967000031,3.507755102040816,0.029221556886227504,5,7,3,3,1
18,E_polish,D,50,3,4100,thorough,13823,8.040178800000035,3.4179591836734695,0.0028742514970060227,5,8,3,3,1
19,E_polish,A,50,3,4200,quick,1736,1.0403522149999844,3.4726530612244897,0.01892215568862272,6,7,3,3,1
20,E_polish,A,50,3,4200,thorough,13843,8.040780059999975,3.4179591836734695,0.0028742514970060227,5,8,3,3,1
21,A_random,-,50,4,1000,,,0.0008696979999740506,2.874285714285714,0.10897637795275585,5,3,4,4,1
22,A_random,-,50,4,1001,,,0.002241291000018464,3.0024489795918368,0.15842519685039372,5,3,4,4,1
23,A_random,-,50,4,1002,,,0.0066933650000464695,2.9355102040816328,0.13259842519685044,5,3,4,4,1
24,A_random,-,50,4,1003,,,0.0024269369999956325,2.9289795918367347,0.13007874015748033,5,3,4,4,1
25,A_random,-,50,4,1004,,,0.0057586429999219035,2.92,0.12661417322834642,5,3,4,4,1
26,A_random,-,50,4,1005,,,0.0022430000000213113,2.957551020408163,0.14110236220472439,5,3,4,4,1
27,A_random,-,50,4,1006,,,0.002490477000037572,2.939591836734694,0.13417322834645676,5,3,4,4,1
